iter	RMSE
0	12.10339176
1	11.77321365
2	11.54853348
3	11.29017973
4	11.09528904
5	10.86328897
6	10.66551735
7	10.50842144
8	10.36174868
9	10.20265881
10	10.09811763
11	10.00144242
12	9.876960364
13	9.752992854
14	9.674740087
15	9.58699612
16	9.50024393
17	9.410117197
18	9.336641859
19	9.23928632
20	9.18399673
21	9.123741615
22	9.088680805
23	9.044731949
24	8.983895311
25	8.939176091
26	8.877146885
27	8.807784843
28	8.771973907
29	8.706864295
30	8.674612584
31	8.63626707
32	8.602271494
33	8.571691842
34	8.543726538
35	8.456073287
36	8.427363358
37	8.396310219
38	8.335408376
39	8.301354446
40	8.263632914
41	8.221736156
42	8.195472725
43	8.162478336
44	8.114017095
45	8.08897024
46	8.056440597
47	7.997842297
48	7.959541566
49	7.912330507
50	7.867246126
51	7.851924282
52	7.808004855
53	7.754751623
54	7.715571282
55	7.678155654
56	7.617014153
57	7.559366565
58	7.530403179
59	7.50149261
60	7.457176209
61	7.42891471
62	7.401287978
63	7.356627894
64	7.317877764
65	7.268242679
66	7.218808075
67	7.18015909
68	7.134348881
69	7.100560963
70	7.038652626
71	7.014974907
72	6.986048056
73	6.956364682
74	6.893514195
75	6.864278296
76	6.823708619
77	6.788928948
78	6.751681903
79	6.722445898
80	6.69837203
81	6.677285611
82	6.634125905
83	6.615677686
84	6.571792511
85	6.556676956
86	6.523392053
87	6.494109513
88	6.454194076
89	6.451390691
90	6.420840893
91	6.385812815
92	6.348556747
93	6.33179114
94	6.291504139
95	6.263633292
96	6.244057377
97	6.228671461
98	6.200432486
99	6.155090265
