iter	Passed	Remaining
0	146	14518
1	149	7337
2	153	4958
3	151	3632
4	154	2928
5	158	2487
6	161	2150
7	165	1905
8	168	1706
9	172	1556
10	175	1420
11	181	1330
12	188	1261
13	194	1197
14	198	1123
15	203	1069
16	208	1017
17	221	1008118	230	982119	244	977
20	250	943221	257	911222	262	878223	268	850224	280	840225	283	806226	296	802227	303	780228	307	75329	316	737
30	323	720
31	330	703
32	340	691
333	342	66534	352	655
35	357	635
336	357	608337	362	592338	366	572339	370	555440	374	538441	379	523442	382	507443	386	491444	392	479445	399	469446	404	455447	409	44348	418	435
49	422	422
50	425	408
51	429	396
52	435	385
53	438	373
54	441	361
55	445	349
56	448	338
57	451	327
58	456	316
59	458	305
60	464	297
61	468	287
62	472	277
63	476	268
64	479	258
65	481	248
66	484	238
67	489	230
68	492	221
69	495	212
70	497	203
71	500	194
72	503	186
73	506	178
74	509	169
75	511	161
76	514	153
77	516	145
78	518	137
79	521	130
80	523	122
81	525	115
82	528	108
83	531	101
84	533	94
85	536	87
86	539	80
87	542	73
88	545	67
89	548	60
90	551	54
91	554	48
92	557	41
93	559	35
94	562	29
95	564	23
96	567	17
97	569	11
98	571	5
99	572	0

