name,artist,artist_followers,artist_popularity,song_popularity,album,release_date,genre,danceability,energy,valence,tempo,duration(min)
Dönsen Bile,Ferdi Özbeğen,274.779,61,73,Sizin Seçtikleriniz,01-01-1986,other,"0,634","0,604","0,483","118,0",3:23
Bir Derdim Var,mor ve ötesi,2.607.858,63,68,Dünya Yalan Söylüyor,16-04-2004,alt-rock,"0,544","0,865","0,517","125,0",3:24
Olsun,Sertab Erener,2.310.274,68,67,Kırık Kalpler Albümü,03-06-2016,pop-rock,"0,582","0,744","0,506","135,0",4:47
Bana Sor,Ferdi Tayfur,1.399.340,60,7,Hoşçakal,16-10-1990,other,"0,573","0,628","0,528","123,0",6:01
Sultan-ı Yegah,Nur Yoldas,19.607,42,58,Sultan-ı Yegah,11-06-1998,other,"0,592","0,682","0,547","114,0",3:13
Biri Vardı,Pera,786.489,55,60,En Güzel Mevsimim,29-01-2016,pop-rock,"0,621","0,838","0,521","129,0",4:10
Ne Güzel Güldün,Pinhani,2.397.918,61,60,Zaman Beklemez,18-04-2008,indie-pop,"0,676","0,657","0,501","118,0",4:44
Düşler Sokağı,Feridun Düzağaç,837.070,49,42,Uzun Uzun,01-01-2004,huzunlu-pop,"0,585","0,535","0,327","119,0",4:27
Begonvil,Dorukhan,687,11,27,Begonvil,10-06-2022,other,"0,624","0,736","0,495","123,0",3:08
Dön Ne Olur (Live),Melike Şahin,1.849.859,65,0,Harbiye 2022 (Live),24-03-2023,huzunlu-pop,"0,583","0,537","0,333","116,0",4:45
Ben Seni Ararım,Hakan Yılmaz,6.160,32,15,Gül Ayini,16-12-2024,other,"0,64","0,606","0,477","119,0",4:03
Geçmedi Zamanla,Egemen Akkol,8.268,33,28,Geçmedi Zamanla,26-01-2024,other,"0,578","0,633","0,462","118,0",2:45
Son Durağın,Kahraman Deniz,1.108.044,61,68,Son Durağın,21-01-2022,huzunlu-pop,"0,564","0,501","0,274","110,0",3:56
Koparılan Çiçekler,Sertab Erener,2.310.274,68,56,Rengarenk,02-06-2010,pop-rock,"0,567","0,871","0,558","137,0",4:27
Paranoya,Melis Fis,273.889,50,29,MELODRAM,24-11-2023,other,"0,587","0,702","0,47","120,0",3:20
Bazen Neşe Bazen Keder,İlhan İrem,193.824,46,20,Bir Meleğe Aşık Oldum - The Best Of İlhan İrem 4,28-10-2016,other,"0,669","0,69","0,517","125,0",2:43
Mahşer,Gökhan Türkmen,1.514.692,67,65,Mahşer,08-04-2022,pop-rock,"0,624","0,849","0,507","128,0",4:31
Gel Barışalım Artık,Sertab Erener,2.310.274,68,53,Lâ'l,14-10-1994,pop-rock,"0,572","0,777","0,505","142,0",3:39
Emret Öleyim,Sibel Can,1.728.559,61,51,Daha Yolun Başındayım,12-11-1999,arabesk,"0,618","0,624","0,399","103,0",4:26
Bu Saatten Sonra,İkilem,357.546,55,63,Bu Saatten Sonra,10-12-2021,other,"0,661","0,664","0,482","118,0",3:51
Bekle Dedi Gitti - Çizik,Kaan Tangöze,387.895,49,62,Gölge Etme,22-09-2015,klasik-rock,"0,486","0,747","0,6","134,0",4:37
Öyle Dertli,Duman,7.441.445,67,57,Darmaduman,12-09-2013,alt-rock,"0,51","0,801","0,53","132,0",5:01
Haydi Söyle,Kalben,1.219.649,63,62,Kalben,05-02-2016,other,"0,579","0,607","0,463","124,0",2:46
Seni Unutmaya Ömrüm Yeter mi,Ümit Besen,731.704,53,66,Başka,17-06-2016,other,"0,649","0,659","0,458","120,0",3:44
Ben Ne Yangınlar Gordüm,Zakkum,1.223.721,56,59,Her Gün Sonbahar,25-09-2013,huzunlu-pop,"0,6","0,524","0,347","121,0",3:53
Ölürüm Hasretinle,Seksendört,1.466.688,60,63,Seksendört,01-01-2005,pop-rock,"0,541","0,841","0,562","136,0",4:47
Kendime Yalan Söyledim,Seksendört,1.466.688,60,4,Akiyor Zaman,01-01-2011,pop-rock,"0,567","0,83","0,493","134,0",4:27
Anason,Zakkum,1.223.721,56,61,13,10-02-2011,huzunlu-pop,"0,545","0,584","0,335","111,0",4:35
Haydi Gel İçelim,Yüksek Sadakat,1.425.388,57,62,Katil & Maktül,01-01-2008,klasik-rock,"0,48","0,735","0,64","134,0",4:10
Cevapsız Sorular,maNga,2.732.574,59,64,Şehr-i Hüzün,09-11-2009,alt-rock,"0,5","0,859","0,483","126,0",4:32
Bir Kadın Çizeceksin,maNga,2.732.574,59,57,maNga +,27-01-2004,alt-rock,"0,546","0,846","0,503","132,0",3:59
Cambaz,mor ve ötesi,2.607.858,63,67,Dünya Yalan Söylüyor,16-04-2004,alt-rock,"0,47","0,815","0,412","139,0",3:50
Dünyanın Sonuna Doğmuşum,maNga,2.732.574,59,60,Şehr-i Hüzün,09-11-2009,alt-rock,"0,558","0,886","0,447","125,0",4:20
We Could Be The Same - Istanbul,maNga,2.732.574,59,54,We Could Be The Same,16-04-2010,alt-rock,"0,558","0,903","0,42","132,0",3:03
Beni Aşka İnandır,Kolpa,1.040.755,57,65,Yatağın Soğuk Tarafı,01-01-2011,pop-rock,"0,547","0,846","0,572","129,0",4:13
Yalnızlığın Çaresini Bulmuşlar,Gripin,1.634.823,61,64,Yalnızlığın Çaresini Bulmuşlar,07-11-2012,pop-rock,"0,588","0,817","0,512","141,0",3:46
Aşk Nerden Nereye,Gripin,1.634.823,61,68,Yalnızlığın Çaresini Bulmuşlar,07-11-2012,pop-rock,"0,582","0,77","0,545","139,0",4:57
Işıkları Söndürseler Bile,maNga,2.732.574,59,2,Işıkları Söndürseler Bile,14-04-2014,alt-rock,"0,49","0,814","0,529","134,0",4:28
Alaz Alaz,Buray,2.083.364,63,58,Başka Hikayeler,26-02-2021,pop,"0,734","0,722","0,635","116,0",2:59
Dünyadan Uzak,Sakiler,522.782,57,54,Dünyadan Uzak,18-12-2020,other,"0,604","0,682","0,478","118,0",3:38
Kusura Bakma,Tuğkan,1.424.833,57,63,Kusura Bakma,30-10-2020,huzunlu-pop,"0,507","0,538","0,257","121,0",2:35
Daha Mutlu Olamam,mor ve ötesi,2.607.858,63,62,Gül Kendine,01-01-2001,alt-rock,"0,556","0,78","0,439","135,0",3:40
Seni Dert Etmeler,Madrigal,1.598.773,61,68,Seni Dert Etmeler,27-03-2020,indie-pop,"0,601","0,629","0,602","125,0",3:08
Sen Varsın Diye,Yüzyüzeyken Konuşuruz,2.944.163,65,66,Sen Varsın Diye,02-07-2021,indie-pop,"0,627","0,72","0,587","119,0",3:46
Barbar,Kaan Boşnak,1.145.308,56,60,Barbar,25-12-2020,indie-pop,"0,59","0,67","0,541","123,0",3:00
Beyaz Skandalım,Emir Can İğrek,3.212.805,66,63,Ağır Roman,07-11-2018,huzunlu-pop,"0,573","0,544","0,348","109,0",3:35
Kendime Yalan Söyledim,Seksendört,1.466.688,60,4,Akiyor Zaman,01-01-2011,pop-rock,"0,58","0,788","0,583","131,0",4:27
Mecbursun,Sertab Erener,2.310.274,68,62,Lâ'l,14-10-1994,pop-rock,"0,559","0,803","0,531","131,0",3:53
İyileşiyorum,Sertab Erener,2.310.274,68,62,Sade,13-04-2013,pop-rock,"0,565","0,869","0,533","141,0",4:17
