name,artist,artist_followers,artist_genres,artist_popularity,song_popularity,album,release_date,duration_ms
Dönsen Bile,Ferdi Özbeğen,274779,"arabesk, anatolian rock, turkish pop",61,73,Sizin Seçtikleriniz,1986,203653
Bir Derdim Var,mor ve ötesi,2607858,"anatolian rock, turkish pop",63,68,Dünya Yalan Söylüyor,2004-04-16,204320
Olsun,Sertab Erener,2310274,turkish pop,68,67,Kırık Kalpler Albümü,2016-06-03,287927
Bana Sor,Ferdi Tayfur,1399340,arabesk,60,7,Hoşçakal,1990-10-16,361666
Sultan-ı Yegah,Nur Yoldas,19607,"anatolian rock, turkish pop",42,58,Sultan-ı Yegah,1998-06-11,193666
Biri Vardı,Pera,786489,,55,60,En Güzel Mevsimim,2016-01-29,250327
Ne Güzel Güldün,Pinhani,2397918,"turkish pop, anatolian rock",61,60,Zaman Beklemez,2008-04-18,284398
Düşler Sokağı,Feridun Düzağaç,837070,"anatolian rock, turkish pop",49,42,Uzun Uzun,2004-01-01,267493
Begonvil,Dorukhan,687,turkish pop,11,27,Begonvil,2022-06-10,188776
Dön Ne Olur (Live),Melike Şahin,1849859,"turkish pop, arabesk",65,0,Harbiye 2022 (Live),2023-03-24,285477
Ben Seni Ararım,Hakan Yılmaz,6160,"karadeniz folk, anatolian rock",32,15,Gül Ayini,2024-12-16,243321
Geçmedi Zamanla,Egemen Akkol,8268,,33,28,Geçmedi Zamanla,2024-01-26,165000
Son Durağın,Kahraman Deniz,1108044,turkish pop,61,68,Son Durağın,2022-01-21,236630
Koparılan Çiçekler,Sertab Erener,2310274,turkish pop,68,56,Rengarenk,2010-06-02,267413
Paranoya,Melis Fis,273889,turkish pop,50,29,MELODRAM,2023-11-24,200376
Bazen Neşe Bazen Keder,İlhan İrem,193824,"anatolian rock, turkish pop, arabesk",46,20,Bir Meleğe Aşık Oldum - The Best Of İlhan İrem 4,2016-10-28,163106
Mahşer,Gökhan Türkmen,1514692,turkish pop,67,65,Mahşer,2022-04-08,271108
Gel Barışalım Artık,Sertab Erener,2310274,turkish pop,68,53,Lâ'l,1994-10-14,219977
Emret Öleyim,Sibel Can,1728559,"arabesk, turkish pop",61,51,Daha Yolun Başındayım,1999-11-12,266200
Bu Saatten Sonra,İkilem,357546,turkish pop,55,63,Bu Saatten Sonra,2021-12-10,231369
Bekle Dedi Gitti - Çizik,Kaan Tangöze,387895,anatolian rock,49,62,Gölge Etme,2015-09-22,277315
Öyle Dertli,Duman,7441445,"anatolian rock, turkish pop",67,57,Darmaduman,2013-09-12,301734
Haydi Söyle,Kalben,1219649,turkish pop,63,62,Kalben,2016-02-05,166048
Seni Unutmaya Ömrüm Yeter mi,Ümit Besen,731704,"arabesk, turkish pop",53,66,Başka,2016-06-17,224505
Ben Ne Yangınlar Gordüm,Zakkum,1223721,"turkish pop, arabesk, anatolian rock",56,59,Her Gün Sonbahar,2013-09-25,233746
Ölürüm Hasretinle,Seksendört,1466688,"turkish pop, anatolian rock",60,63,Seksendört,2005-01-01,287788
